id,dimension,question_type,question,scoring_hint,follow_up_condition,notes
e1,EI,main,假设你有一个完整的周末或小长假，没有任何必须做的事，你一般会怎么安排这段时间？能想到平时比较多的情况就行。,用户描述活动安排 → 判断能量来源方式：有约人/热闹→E倾向，一个人/安静→I倾向,用户只描述活动没有说能量感受时追问,
e2,EI,followup,这样安排完之后，你通常感觉怎么样？是更放松、更有能量，还是反而有点累、需要一个人静静才能恢复？,能量感受 → 放松有能量→E倾向，累需要静静→I倾向,主问题回答不清晰时触发,
e3,EI,followup,你一般工作日精力如何？周末精力如何？整体来看，大多数时候你更偏向哪种？,精力状态 → 工作日忙/周末想社交→E倾向，工作日累/周末想安静→I倾向,用户说看状态时追问，识别精力状态污染,
e4,EI,correction,你前面说周末喜欢找人热闹，但又说一个人待着更舒服，这两个说法不太一致，能再说明一下吗？,一致性检验 → 判断是否为真实偏好还是状态依赖,用户前后回答矛盾时触发,
s1,SN,main,如果要你快速学一个完全陌生的东西，比如一个新软件、一道新菜、一门完全没基础的课，你通常会怎么开始？能举一个你印象比较深的情况。,第一步行为 → 先找教程/步骤→S倾向，先找原理/整体→N倾向,用户只说偏好没有第一步行为时追问,
s2,SN,followup,你当时第一步具体做了什么？是先找教程步骤，还是先找原理？按你大多数时候的习惯来说。,第一步具体行为 → 教程步骤→S倾向，原理框架→N倾向,主问题回答抽象时触发,
s3,SN,followup,你学技术类和学语言之类的方法一样吗？还是不同内容不同方法？,任务类型 → 不同内容不同方法→存在任务污染，需进一步确认默认,用户说看内容时追问，识别任务类型污染,
s4,SN,correction,你前面说会先找原理，但举的例子是找教程，这两个不太一致，能再说明一下吗？,一致性检验 → 判断是否为真实偏好,用户前后回答矛盾时触发,
t1,TF,main,如果有个人找你帮忙，或者请你做一件你觉得不太合理、或者会占用你时间的事，你通常会怎么处理？能举一个你印象比较深的情况。,决策行为 → 直接拒绝/讲理由→T倾向，委婉拒绝/担心对方→F倾向,用户说会纠结但没说更纠结什么时追问,
t2,TF,followup,当时你内心更纠结的是什么？是觉得不符合你的原则或安排，还是更担心拒绝后会让对方高兴、或者影响你们的关系？按你大多数时候的反应来说。,内心纠结 → 原则不合理→T倾向，担心对方不高心→F倾向,主问题回答不清晰时触发,
t3,TF,followup,如果是特别重要的关系，比如家人或很亲密的朋友，你会不会因为不想让对方高兴，而去做一件你其实觉得不太合理的事？,重要关系处理 → 会→F倾向，不会→T倾向,用户说看人/看关系时追问，识别关系类型污染,
t4,TF,correction,你前面说会直接拒绝，但后面又说开不了口，这两个不太一致，能再说明一下吗？,一致性检验 → 判断是否为真实偏好,用户前后回答矛盾时触发,
j1,JP,main,假设你要去一个从没去过的地方玩两天，或者要操办一件对你来说挺重要的事，你一般会怎么准备和推进？能举一个你印象比较深的情况。,准备行为 → 提前计划安排→J倾向，边做边调弹性→P倾向,用户只说计划没说对变化反应时追问,
j2,JP,followup,后来如果有临时变化，比如原本订好的地方��时间、方式要调整，你通常会怎么反应？按你大多数时候的情况来说，是会想赶紧重新安排好，还是觉得无所谓、顺着走就行？,变化反应 → 赶紧重新安排→J倾向，无所谓顺着走→P倾向,主问题回答不清晰时触发,
j3,JP,followup,那不重要的事，你通常是完全不做计划，还是也有某种默认方式？,不重要的事处理 → 不做计划→P倾向，有默认方式→J倾向,用户说看事情重要程度时追问，识别任务重要性污染,
j4,JP,correction,你前面说会提前计划好，但又说计划赶不上变化，这两个不太一致，能再说明一下吗？,一致性检验 → 判断是否为真实偏好,用户前后回答矛盾时触发,
